item_id,nli_raw_gameplay,nli_raw_story,nli_raw_graphics,nli_ctr_gameplay,nli_ctr_story,nli_ctr_graphics,n_reviews,n_plot,n_characters,n_writing
B00000DMAT,0.9242,0.8119,0.7569,0.4862,-0.0533,-0.1056,23,16,7,4
B00000DMB3,0.9411,0.9023,0.7026,0.2391,0.2176,-0.1714,21,15,14,9
B00000F1GM,0.7881,0.8696,0.4046,0.3578,-0.0291,-0.1334,22,16,5,11
B00000JRSB,0.6525,0.648,0.5204,0.0589,0.0955,-0.0144,66,36,37,14
B00000K2R4,0.8964,0.8052,0.8802,0.3781,0.0278,0.3241,23,12,8,5
B00001OWYW,0.6077,0.522,0.7254,0.196,0.038,-0.1227,20,15,11,5
B00001X50M,0.7439,0.7281,0.6559,0.225,0.1584,-0.1471,28,20,18,6
B00001XDUB,0.1988,0.376,0.2527,-0.2277,0.0034,0.2509,21,11,8,3
B0000296O5,0.1368,0.2187,0.4685,0.0768,0.1521,0.051,53,31,27,12
B00002R28C,0.4459,0.4665,0.4103,0.1884,0.2228,0.1092,27,9,8,4
B00002STGL,0.8801,0.7934,0.4291,0.4985,0.0387,-0.2761,18,16,6,5
B00002STXN,0.9575,0.8027,0.8031,0.4796,0.0519,-0.0553,21,17,9,8
B00002SVFZ,0.8744,0.6466,0.8425,0.4332,-0.027,-0.0752,23,19,7,7
B000035Y6D,0.7393,0.5923,0.8953,0.2593,0.0969,0.0118,22,11,9,4
B00004TC6E,0.3438,-0.1433,0.5922,0.283,-0.0422,0.233,30,16,7,5
B00004Y57G,0.792,0.5267,0.497,0.1761,0.029,-0.0754,54,25,27,13
B00004YRQ9,0.6669,0.3645,,0.2925,-0.0099,,33,7,7,0
B00004YRQA,-0.036,-0.2649,,0.4053,-0.1668,,34,2,9,0
B00004YUWA,0.4937,0.5014,0.6822,0.0695,0.1295,-0.0714,25,16,13,11
B00005BW7Q,0.3305,0.3415,0.3938,0.1292,0.043,0.0691,23,14,10,8
B00005LOXE,0.9395,0.9178,0.8417,0.3288,0.0018,-0.0205,19,6,4,2
B00005MDZY,0.5565,-0.6592,0.8118,0.4148,-0.3901,0.2098,21,17,1,4
B00005ME6N,0.1852,0.2661,0.7159,0.1014,0.0983,-0.1407,25,14,7,1
B00005ME6O,0.4306,0.6498,0.5031,-0.0427,0.1712,-0.0861,25,14,13,7
B00005ML10,0.5133,0.5877,0.7994,0.1066,0.1266,-0.0096,34,25,20,11
B00005NCCR,0.5902,0.0913,0.7768,0.2908,-0.1315,0.0184,27,24,14,12
B00005NZ1G,0.6675,0.6404,0.9041,0.2722,0.1571,0.0989,49,31,21,9
B00005O0I2,0.8247,0.7005,0.8225,0.3241,0.0032,-0.072,42,28,15,10
B00005Q8LR,0.3701,0.2987,0.7548,0.1129,-0.0191,0.0557,29,23,14,10
B00005Q8M0,0.9404,0.6395,0.8505,0.4952,-0.0853,0.0553,38,24,10,10
B00005QDPZ,0.8139,0.6983,0.6497,0.3759,-0.0476,-0.0127,18,11,4,6
B00005QEFD,0.9336,0.7386,0.8204,0.3467,0.1215,0.2417,28,13,11,6
B00005TNI6,0.6551,0.4844,0.7188,0.1882,-0.0181,0.0451,62,40,42,24
B00005UK88,0.76,0.5344,0.6178,0.3437,0.1142,-0.1723,22,15,6,9
B00005ULXN,0.5526,0.5528,0.8447,0.1958,-0.151,-0.0716,23,15,5,2
B0000657SP,0.3976,0.2208,0.608,0.1233,-0.0155,0.3134,41,21,10,12
B000066JRN,0.5309,0.5487,0.8123,0.0515,0.0378,-0.0593,39,24,14,9
B000066TS5,0.6195,0.7776,0.7661,0.0201,0.0287,-0.0902,51,34,26,15
B000067DPM,0.5485,0.6729,0.4108,0.2459,0.2052,-0.1373,30,21,14,8
B0000696CZ,0.9112,0.7264,0.8082,0.4178,0.0186,-0.0902,48,35,22,8
B00006FWTX,0.6962,0.3287,-0.002,0.4447,-0.0235,-0.3792,21,14,10,3
B00006IJJK,0.3737,0.3375,0.8571,0.107,-0.0529,0.1646,45,33,16,11
B00006JZQZ,0.6524,0.8236,0.835,0.2212,-0.0421,0.1955,20,14,6,7
B00006LELI,0.6165,0.6182,0.8205,0.053,-0.0533,0.0596,37,23,18,12
B00006M3R6,0.7951,0.7924,0.8565,0.2381,-0.047,0.0059,25,20,14,8
B00007LV7Y,0.3085,-0.001,0.5541,0.0185,-0.1863,0.3515,29,16,16,8
B000084318,0.7748,0.6416,0.7858,0.3618,0.0242,-0.0088,40,32,20,10
B000087H7T,0.7646,0.6323,0.9707,0.0895,0.1983,0.0054,38,13,18,1
B00008H2IS,0.671,0.9257,0.809,0.5438,0.2893,0.342,21,15,3,2
B00008J7NZ,0.558,0.3401,0.888,0.277,-0.1014,0.2349,53,33,21,7
B00008RUYZ,0.1229,-0.1303,0.2034,0.1916,0.1732,0.1768,21,9,5,3
B00008URUA,0.7745,0.5983,0.5777,0.1321,-0.0977,0.2026,21,13,12,3
B000099T2E,0.8938,0.8421,0.8089,0.2571,0.0065,-0.0803,19,12,7,4
B00009WAUD,0.6627,0.9094,0.8163,0.3559,-0.0483,0.0275,25,18,1,7
B00009WAUO,0.8673,,0.8639,0.4753,,0.0239,18,15,0,7
B0000A09EM,0.2851,0.4283,0.4112,0.066,-0.0791,0.1152,23,12,7,6
B0000C7GHG,0.907,0.5715,0.8122,0.4324,0.0993,0.0674,40,18,10,9
B0000TSRA6,-0.0874,0.2034,0.3628,0.0066,0.3256,0.2593,21,13,10,4
B0001UEHP8,0.6821,0.6621,0.7498,0.3366,0.1008,0.0545,34,24,12,5
B0001VGFK2,0.697,0.7652,0.0991,0.3533,0.0715,-0.4621,36,24,13,2
B00020LZAW,0.1649,0.2565,0.289,0.0105,0.0539,0.2029,19,15,10,5
B0002A6CQ4,0.8941,0.6511,0.824,0.4362,-0.1067,0.0828,39,31,13,17
B0002B90SA,0.4296,-0.1994,0.8787,0.2825,-0.336,0.3404,23,13,14,2
B0002ILS1K,0.9575,0.8872,0.8016,0.3729,-0.0222,0.0706,22,14,8,6
B0002ILS1U,0.5193,0.6501,0.6548,0.0956,-0.0173,-0.0489,24,16,6,7
B0002RQ3ES,0.4751,0.6606,0.8273,0.096,0.0815,0.0513,24,16,10,4
B0002XL3BA,0.8006,0.789,0.7983,0.2417,-0.0103,0.1304,39,30,15,14
B00064MUIA,0.5695,0.4561,0.1537,0.3794,-0.0809,-0.0172,24,13,5,4
B0006B0O9U,0.2048,0.3463,0.4948,0.1056,0.131,0.0127,31,19,4,4
B0007TFLLC,0.4312,0.2968,0.8449,0.1208,-0.046,0.1013,20,15,14,7
B0009A4EV2,0.8247,0.5564,0.8671,0.3176,-0.0317,-0.048,29,21,16,8
B0009A4EVM,0.4502,0.5135,0.7664,0.0659,0.0604,-0.1095,34,23,18,5
B0009I6S0O,0.361,0.5998,0.6245,0.0386,0.1249,0.0833,41,28,19,8
B0009S4UOA,0.6051,0.6527,0.8831,0.2837,0.0427,-0.021,27,20,9,3
B0009SQFHA,0.3688,0.2085,0.3848,0.128,-0.0375,-0.0933,24,17,13,5
B0009UBR3A,0.6347,0.4926,0.5733,0.2436,0.0315,0.0777,21,16,12,9
B0009VXAM0,0.7651,0.451,0.8537,0.1853,-0.0566,-0.0307,35,16,13,5
B0009VXBAQ,0.6096,0.4389,0.1241,0.3332,0.0266,-0.0755,87,56,35,14
B0009XBWY6,0.746,0.873,,0.746,0.873,,19,3,1,0
B000A0EFJW,0.3916,0.5108,0.584,0.254,0.0493,0.2936,31,19,4,7
B000A2R54M,0.878,0.8317,0.8716,0.6034,-0.0737,-0.0491,23,20,3,5
B000B43OY4,0.7322,-0.0624,0.8519,0.4127,-0.1978,0.1774,31,11,13,5
B000B69E9G,0.8621,0.7057,0.8677,0.3773,1e-04,-0.072,42,27,16,8
B000B6MLUA,0.8326,0.8083,0.7623,0.2266,0.2207,-0.0457,20,12,11,1
B000B6MLV4,-0.7875,0.4468,,0.0949,0.5203,,22,1,12,0
B000B9RI14,0.7849,0.8624,,-0.0101,0.763,,48,1,8,0
B000BLM5PG,0.4145,0.2835,0.7711,0.1414,-0.0399,0.0668,24,16,11,6
B000CBVC0Y,0.3182,0.6973,0.7456,0.0625,0.1495,-0.1239,23,15,7,1
B000ERVMI8,0.7618,0.6804,0.6566,0.2032,-0.1027,0.0487,40,25,12,12
B000F3AADE,0.3604,0.2034,0.3487,0.1818,0.019,-0.2181,42,29,19,3
B000F5IH2I,0.521,0.2531,0.6203,0.2193,-0.1349,0.0731,46,29,21,18
B000FDOTIQ,-0.4003,0.2206,-0.1942,-0.1699,0.354,0.0616,18,9,10,3
B000FO4KO8,0.7963,0.5896,0.5834,0.373,0.0255,-0.0321,46,26,18,7
B000FPOJOS,0.6445,0.8574,0.7625,0.2243,-0.0571,0.0955,21,14,3,6
B000FQ2D5E,0.6848,0.7814,0.8529,0.1843,0.1005,-0.0498,131,82,56,31
B000FQ2DTA,0.4328,0.0521,0.5556,0.2344,-0.1676,0.1217,100,59,40,20
B000FQ2GUQ,0.8464,0.8324,0.8244,0.213,0.1204,-0.0862,29,19,18,6
B000FQ9QVI,0.7171,0.4167,0.839,0.361,-0.101,-0.0085,64,44,18,17
B000FQ9R4E,0.687,0.767,0.8246,0.3482,-0.0715,-0.0057,65,41,12,10
B000FQBF1M,0.4655,0.5483,0.7927,0.0634,-0.0118,0.1462,94,65,33,26
B000FQBPCQ,0.794,0.5751,0.6634,0.3336,-0.0172,-0.0691,34,27,18,8
B000FRS9II,0.6939,0.3486,0.7575,0.3268,-0.1402,0.0504,75,54,23,22
B000FRU0NU,0.5926,0.5559,0.6166,0.184,-0.0042,0.0276,89,62,35,22
B000FRU1UM,0.4796,0.4725,0.5411,0.1169,0.0183,-0.0424,71,49,33,19
B000FRV2UK,0.6774,0.701,0.8121,0.1744,0.0812,0.003,27,20,9,9
B000FRVAD4,0.1367,0.0764,0.1067,0.1139,0.0237,-0.0129,52,32,25,7
B000G0HJ3K,-0.7668,-0.6724,-0.3622,-0.3597,-0.021,0.0364,23,16,10,3
B000G75AXY,0.1151,0.1609,0.8094,-0.1358,-0.0973,0.1867,21,13,9,3
B000G7PMXC,0.9568,0.8707,0.5211,0.3985,0.0869,-0.2101,24,13,6,6
B000G7YRHO,0.0684,-0.0107,0.7945,-0.1245,-0.2137,0.248,21,11,6,4
B000G82KU4,0.7328,0.9023,0.3258,0.4298,0.2273,-0.2753,19,11,4,4
B000HCQK0A,0.5578,0.1945,0.5728,0.2967,-0.177,-0.0342,42,34,14,7
B000HKGIOA,0.3485,0.1074,0.2587,0.3254,-0.017,0.1147,32,25,12,7
B000HKP88C,0.2834,0.443,0.5848,0.0633,0.0513,0.0018,88,64,37,15
B000HX1P72,0.5201,0.3894,0.7794,0.2594,0.0477,0.1312,29,19,13,7
B000IMWK2G,0.9255,0.8986,,0.5365,-0.035,,28,12,5,0
B000IMYKQ0,0.8703,0.7753,,0.7404,0.6238,,37,7,6,0
B000JLIXIG,0.7263,0.7132,0.6911,0.1807,0.0403,-0.0635,75,53,36,13
B000JLIYLC,0.2709,0.0044,0.746,0.1895,0.002,0.471,31,17,4,5
B000K9OP2A,0.2837,0.4736,0.6561,-0.0648,0.0094,0.2998,59,38,27,18
B000K9OR4Q,0.2492,-0.1837,0.1556,0.2197,-0.118,-0.1225,21,13,5,5
B000KLNLUK,0.2814,0.0642,0.877,0.1362,-0.1716,-0.0357,22,18,15,3
B000KLNLV4,0.582,-0.0014,0.7711,0.2868,-0.3463,0.1322,23,14,9,4
B000KRXAGE,-0.2348,-0.1831,0.8857,-0.146,-0.0526,0.6341,33,19,11,1
B000LSJKAM,0.4791,0.4764,0.577,0.3234,0.1585,-0.2131,21,15,5,2
B000LXIO6I,0.3193,0.1489,0.7729,0.2452,0.33,-0.1114,23,14,4,3
B000M17AVO,0.3598,0.5832,,-0.1114,0.2803,,35,9,14,0
B000MKA60W,0.6654,0.9084,0.8064,0.0519,0.1421,0.0347,77,58,39,19
B000MUW98O,0.7132,0.5595,0.8075,0.4309,-0.1798,0.1374,44,32,6,8
B000NNDN1M,-0.1156,0.1508,0.3353,-0.1221,0.0455,0.1456,22,14,10,4
B000O3IS48,0.427,0.5712,0.4912,0.2833,0.3074,0.0608,27,17,9,5
B000OLXX86,0.4278,0.7803,0.6763,-0.1227,0.1771,-0.0669,79,50,47,15
B000P297E8,0.397,0.6331,0.7336,0.1218,0.1859,-0.1474,22,13,8,3
B000P297EI,0.488,0.1289,0.7143,0.2469,-0.1389,0.1735,37,22,11,10
B000P297F2,0.6772,0.4196,0.558,0.241,-0.0456,-0.0121,31,14,7,5
B000P46NKC,0.8342,0.9045,0.7453,0.3613,0.0453,-0.042,44,30,12,12
B000P46NMA,0.2227,0.4684,0.786,0.0188,0.2102,0.0955,148,70,55,12
B000P46NMK,0.3717,0.3362,0.7765,0.1015,-0.0415,0.1374,123,77,56,19
B000PE0HBI,0.6541,0.4723,0.4797,0.2847,0.0447,0.1635,22,14,10,5
B000QAVV6G,0.2843,-0.4734,0.8296,0.2431,-0.3616,0.0382,21,14,9,2
B000QY9C90,0.4707,-0.3418,0.332,0.4034,-0.3406,0.0359,38,25,10,7
B000R0PLK2,0.7915,0.7037,0.7917,0.4541,0.1039,-0.1214,25,16,9,5
B000R0SS3Y,-0.4734,-0.4997,-0.8667,-0.0045,0.0219,0.0649,20,12,9,1
B000R0URCE,0.413,0.5814,0.8493,0.2333,0.1703,0.1127,48,30,15,5
B000R39GPA,0.284,0.7972,0.8492,-0.0253,0.2424,0.1322,40,25,17,5
B000R3BN4M,0.8141,0.8928,0.81,0.0856,-0.0006,0.0168,23,16,10,9
B000RF7164,0.5144,,,0.5144,,,26,24,0,0
B000RHZ9G6,0.3626,-0.277,,0.4214,-0.022,,21,13,3,0
B000RHZ9JI,0.6254,0.0536,0.8327,0.3973,-0.3143,0.0306,24,17,8,4
B000SQ5LQ4,0.6311,0.5337,0.6275,0.2337,-0.026,-0.1491,52,34,21,9
B000SQ5LQE,0.107,0.0625,0.1163,0.0742,0.0246,-0.2973,26,15,13,6
B000TG530M,0.8443,0.8475,0.7072,0.4463,0.0481,-0.0612,48,37,15,13
B000TG72PG,0.765,0.3542,0.1567,0.5097,0.1231,-0.2559,21,15,6,4
B000TG72TM,0.7667,0.6417,0.8457,0.3279,-0.021,-0.058,39,32,17,8
B000TI836G,0.3367,0.1281,-0.4069,0.2564,-0.0607,0.1913,31,21,13,4
B000TLU67W,0.2498,0.3193,0.7812,-0.0609,0.1577,-0.0172,28,8,10,3
B000UC5ML0,0.9029,0.7518,0.8025,0.4328,0.009,-0.0083,56,39,21,13
B000UU3SVI,0.5891,0.505,0.7477,0.1444,-0.0401,-0.0281,59,42,28,12
B000UW1YBW,0.3962,0.5032,0.4893,-0.0868,-0.1635,0.1378,21,15,11,5
B000UW21A0,0.6438,0.79,0.8331,0.1069,0.0768,0.0344,138,90,62,39
B000V1OUVI,0.4979,0.1926,0.651,0.2728,-0.3351,-0.1505,19,14,3,3
B000VJRU44,0.7003,0.5836,0.1969,0.2073,0.0536,0.3798,49,31,29,5
B000VTQ3LU,0.4931,0.9274,,0.3465,0.6097,,60,13,6,0
B000W5Y49G,0.3509,0.6616,,0.3036,0.1648,,34,21,2,0
B000WCN8IW,0.7095,0.5514,0.8729,0.1645,-0.0737,0.2615,25,13,14,8
B000WCQWR6,0.5561,0.5956,-0.7595,0.382,-0.1011,-0.9368,30,20,5,1
B000WEQL02,0.6762,0.7782,0.8112,0.3546,0.0099,-0.0614,61,43,18,2
B000WJFZEA,0.9329,-0.8915,,0.9358,-0.8724,,30,26,4,0
B000WMEEAI,0.3269,-0.1855,,0.3889,-0.0098,,19,17,6,0
B000WMEEB2,0.7509,0.6718,0.6557,0.3061,-0.0665,-0.116,93,66,32,12
B000WMEEBC,-0.0878,-0.4023,0.7668,0.0904,-0.0756,-0.0731,32,22,12,2
B000WON6XW,0.0867,0.7014,0.8487,-0.2337,0.1827,0.415,21,9,6,4
B000WPXQSQ,0.6486,0.597,0.694,0.2094,0.1029,-0.0983,27,18,16,4
B000WQ3838,0.3651,-0.9558,0.8603,0.1445,-0.0818,0.173,20,17,2,8
B000WQWPOQ,0.4993,0.2182,0.4362,0.0688,-0.1891,-0.0772,48,42,36,10
B000WS97QI,0.7215,0.7256,0.8404,0.3021,0.0258,0.0429,65,46,22,8
B000WSE2WM,0.412,0.6793,0.7883,0.0515,0.1129,-0.1131,69,49,25,11
B000X1PE16,0.7058,0.5878,0.8443,0.2275,-0.0434,0.0957,146,117,66,53
B000X1TC0U,0.7166,0.7571,0.8494,0.222,0.0054,-0.0129,193,141,81,46
B000X25GW2,0.875,0.7301,0.3175,0.4361,0.0658,-0.3427,53,37,22,14
B000X2RKOO,0.6795,0.5019,,0.4178,0.1356,,28,14,10,0
B000X37732,0.7189,0.5405,,0.7189,0.5405,,22,1,3,0
B000XGJH1O,0.8014,0.6781,0.9266,0.1645,0.105,0.0101,46,18,20,6
B000XJK40O,0.725,0.7583,0.7289,0.3296,0.0808,0.1464,31,20,10,8
B000XJLQ24,0.2722,0.5003,0.7725,0.0528,0.0729,-0.147,45,37,19,2
B000XJNTNS,0.6134,0.6406,0.7329,0.3606,-0.0773,-0.1253,85,58,18,6
B000XJNTPG,0.202,0.446,0.8317,-0.0561,0.1878,0.0503,35,26,26,6
B000XJNTQ0,0.2199,0.4265,0.8744,0.0582,-0.1598,0.4062,34,29,8,6
B000XJO7A2,0.1563,-0.1512,0.4314,0.3511,0.047,-0.1293,33,20,14,2
B000XJS00K,-0.066,-0.1053,0.807,-0.0856,-0.1319,0.2866,22,19,14,4
B000YDIYFG,0.5701,0.4141,-0.3169,0.5438,0.1514,-0.5795,20,20,2,2
B000Z9A95M,0.6299,0.5946,0.8552,0.0667,0.1856,-0.0293,40,23,20,14
B000ZJVDA2,0.3884,0.3699,0.3299,0.1339,0.0975,0.2411,53,32,34,12
B000ZK6950,0.3745,0.1346,0.8073,0.1763,-0.0782,0.0792,109,64,29,20
B000ZK695U,-0.4503,-0.4727,-0.0395,-0.1307,-0.1176,0.0235,34,23,16,4
B000ZK696O,0.6293,0.4093,0.7908,0.3307,-0.0669,0.2139,75,52,25,17
B000ZK698C,0.4311,0.656,0.8317,0.0436,0.1746,0.2128,50,30,28,11
B000ZK7ZK8,0.6445,0.661,0.6067,0.0781,0.082,0.0487,47,41,34,18
B000ZK7ZMQ,0.6188,0.3262,0.817,0.4138,0.0524,0.024,74,45,16,10
B000ZK7ZOE,0.8367,0.7726,0.551,0.2462,-0.0225,-0.0716,205,152,110,51
B000ZK7ZOY,-0.0818,-0.4303,-0.1189,-0.0451,-0.1705,0.0107,22,18,8,4
B000ZK9QCS,0.6173,0.5207,0.7183,0.2213,0.0575,0.0118,258,143,87,50
B000ZK9QD2,0.7003,0.8265,0.7048,0.1921,0.0184,-0.0161,117,86,50,32
B000ZKA0J6,0.4863,0.2523,0.7588,0.1694,-0.1476,0.1071,68,40,24,10
B000ZKA0KA,0.3118,-0.0968,0.476,0.2821,0.0535,0.0292,27,18,8,6
B000ZKBJXC,0.4077,0.6642,0.6714,-0.0337,0.0107,0.0792,46,34,29,20
B000ZKBJY6,0.7621,0.4805,0.3562,0.2909,-0.1164,0.0195,26,16,10,6
B000ZKDOV2,0.725,0.7232,0.6636,0.3403,-0.0278,0.1651,55,41,21,5
B000ZKDOVW,0.8653,-0.1082,0.865,0.6412,-0.2218,-0.0698,29,21,9,6
B00104KCF8,-0.2847,-0.0254,,-0.1215,0.2338,,41,27,17,0
B00104KJ4C,0.9668,0.8556,-0.512,0.5877,0.2869,-0.9278,22,12,8,2
B00109KMOO,-0.1085,-0.9042,0.806,0.0294,0.0444,-0.0564,21,15,4,2
B0010AYJXI,0.2673,0.4697,0.7094,-0.1343,0.0743,0.1438,129,93,90,34
B0010EI6T2,0.5062,-0.4744,0.6024,0.4595,-0.2815,0.1841,39,29,5,6
B0010YOQIW,0.0278,0.6307,0.7996,-0.2833,0.3196,-0.0933,25,16,16,4
B0010YOQJQ,0.2371,0.1848,,0.2234,0.1629,,22,16,10,0
B00113JSCG,-0.4673,0.3109,0.7321,-0.5342,0.1043,0.4768,37,30,12,7
B00113T0VA,0.6154,0.5195,0.1021,0.4507,0.1663,0.0131,27,15,8,4
B0011BE3KA,0.18,0.5792,0.0223,0.0426,0.3867,0.0321,34,14,10,4
B00127VDVK,-0.4126,-0.5163,-0.9087,-0.1273,-0.0171,0.0583,20,14,8,2
